,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]","[5, 1, 6, 6, 2, 3, 1, 4]",51.0599,0.5105,0.6154,0.4513,0:02:47,103532,5508328
0,6,"[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]","[6, 4, 2, 2, 4, 4]",81.6565,0.8166,0.8802,0.7919,0:02:31,1165295,57936298
0,4,"[128, 128, 128, 128]","[6, 3, 3, 6]","[4, 3, 5, 5]",78.3580,0.7836,0.8717,0.7549,0:01:56,868984,42345968
0,5,"[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]","[1, 5, 2, 5, 6]",76.0418,0.7605,0.8248,0.7322,0:02:05,405130,20059676
0,4,"[176, 176, 176, 176]","[4, 3, 6, 3]","[2, 6, 6, 5]",82.0701,0.8039,0.8728,0.7772,0:02:07,1742926,85087604
0,9,"[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 3, 3, 6, 3, 5, 5, 4, 6]","[4, 6, 2, 5, 5, 1, 3, 3, 6]",82.0287,0.8202,0.8855,0.7972,0:03:08,713260,36444296
0,8,"[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 5, 6, 3, 5, 3, 6]","[3, 2, 6, 4, 3, 3, 4, 4]",82.2252,0.7954,0.8847,0.7695,0:03:04,1524823,76588442
0,9,"[80, 80, 80, 80, 80, 80, 80, 80, 80]","[5, 5, 4, 5, 6, 5, 4, 3, 5]","[1, 4, 3, 4, 1, 1, 3, 6, 1]",80.8810,0.8089,0.8391,0.7838,0:03:07,574164,29708952
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 5, 5, 5, 5, 5]","[6, 6, 5, 6, 3, 2, 2, 3]",84.3863,0.8324,0.9069,0.8102,0:03:12,2088676,104429528
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 3, 6, 5, 4, 3, 6, 5, 4, 4]","[4, 5, 4, 2, 1, 2, 5, 1, 4, 2]",79.9090,0.7755,0.8510,0.7470,0:03:15,252085,13461294
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]","[6, 2, 5, 1, 5, 6, 5, 5, 4]",83.1248,0.8126,0.8979,0.7884,0:03:19,1475217,74336822
0,5,"[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]","[6, 4, 2, 1, 5]",81.5324,0.8038,0.8657,0.7776,0:02:22,1496789,73744622
0,7,"[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]","[6, 5, 2, 1, 3, 5, 2]",76.2486,0.7627,0.8446,0.7345,0:02:34,337065,17172134
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]","[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]",81.5634,0.7976,0.8855,0.7711,0:03:37,1626750,82223764
0,8,"[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]","[3, 1, 3, 1, 4, 1, 3, 2]",82.7526,0.8058,0.8944,0.7814,0:03:27,2177801,109442662
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]","[3, 3, 1, 4, 4, 5, 2, 1, 1]",55.7647,0.5575,0.6677,0.5059,0:03:03,99072,5416992
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]","[4, 2, 6, 3, 4, 6]",72.3607,0.7238,0.8347,0.6926,0:02:20,329397,16532782
0,5,"[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]","[4, 6, 6, 6, 6]",83.2179,0.8020,0.8806,0.7766,0:02:31,2426859,119285586
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]","[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]",74.6665,0.7467,0.8482,0.7167,0:03:17,261397,13912878
0,5,"[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]","[6, 4, 5, 2, 4]",79.4954,0.7805,0.8644,0.7524,0:02:22,1653441,81415670
0,4,"[112, 112, 112, 112]","[3, 6, 5, 6]","[5, 3, 1, 1]",74.0254,0.7402,0.8370,0.7083,0:01:55,493007,23972074
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]","[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]",82.5458,0.7964,0.8839,0.7696,0:04:05,3359990,168770980
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]","[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]",72.0401,0.7204,0.8341,0.6872,0:03:17,270709,14364462
0,6,"[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]","[1, 1, 1, 3, 1, 2]",58.6909,0.5870,0.7051,0.5372,0:02:20,116887,6076602
0,10,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]","[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]",77.4894,0.7484,0.8539,0.7199,0:03:17,434632,22720208
0,8,"[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]","[6, 2, 2, 2, 2, 6, 6, 2]",84.1071,0.8125,0.8937,0.7886,0:03:01,1149990,58005220
0,5,"[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]","[2, 3, 2, 2, 4]",61.7103,0.6171,0.7429,0.5761,0:02:06,212329,10536358
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]","[1, 6, 4, 6, 2, 2, 1, 1]",51.5562,0.5156,0.5989,0.4588,0:02:47,93132,5006568
0,7,"[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]","[4, 5, 6, 3, 6, 2, 2]",71.1405,0.7112,0.7727,0.6774,0:02:35,214414,11006100
0,7,"[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]","[4, 2, 4, 4, 2, 4, 2]",83.1041,0.8126,0.8934,0.7883,0:03:08,2302239,114747402
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]","[4, 2, 3, 1, 5, 3, 4, 6]",74.1805,0.7418,0.8302,0.7101,0:02:48,225232,11773440
0,9,"[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 3, 5, 5, 4, 5, 6, 3, 4]","[4, 5, 4, 2, 2, 3, 4, 4, 2]",81.6462,0.7843,0.8807,0.7578,0:03:11,929188,47395768
0,5,"[96, 96, 96, 96, 96]","[3, 5, 6, 3, 6]","[6, 5, 3, 3, 4]",77.8823,0.7787,0.8566,0.7504,0:02:08,612685,30268798
0,7,"[192, 192, 192, 192, 192, 192, 192]","[5, 4, 3, 6, 6, 6, 3]","[6, 2, 3, 2, 2, 1, 5]",80.4984,0.8050,0.8733,0.7787,0:03:12,2665738,132791036
0,9,"[240, 240, 240, 240, 240, 240, 240, 240, 240]","[4, 4, 4, 4, 3, 4, 6, 5, 5]","[6, 6, 1, 4, 5, 6, 5, 2, 2]",82.6802,0.8164,0.8947,0.7921,0:04:22,6452656,320809440
0,10,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 6, 5, 4, 6, 5, 6, 6, 5, 6]","[3, 6, 1, 4, 3, 2, 3, 6, 5, 3]",80.9327,0.8090,0.8952,0.7836,0:03:42,1888471,95479706
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 3, 5, 4, 6, 3, 3, 3, 3]","[1, 6, 2, 2, 1, 5, 5, 6, 6, 5]",81.1808,0.8048,0.8863,0.7796,0:03:30,1530460,77574056
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 4, 4, 3, 4, 3, 4, 6, 4, 6]","[6, 4, 3, 1, 6, 4, 3, 5, 6, 3]",82.4734,0.8212,0.8875,0.7959,0:04:47,7146976,355830720
