,mlp_ratio,embed_dim,num_heads,layer_num,id,jacob_cov
95,"[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]",10,15,735.0006
96,"[6, 2, 2, 2, 2, 6, 6, 2]","[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]",8,16,531.0167
97,"[2, 3, 2, 2, 4]","[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]",5,17,5669.7978
98,"[1, 6, 4, 6, 2, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]",8,18,6416.3059
99,"[4, 5, 6, 3, 6, 2, 2]","[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]",7,19,2546.7713
100,"[4, 2, 4, 4, 2, 4, 2]","[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]",7,0,211.7126
101,"[4, 2, 3, 1, 5, 3, 4, 6]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]",8,1,1581.6235
102,"[4, 5, 4, 2, 2, 3, 4, 4, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 3, 5, 5, 4, 5, 6, 3, 4]",9,2,595.8805
103,"[6, 5, 3, 3, 4]","[96, 96, 96, 96, 96]","[3, 5, 6, 3, 6]",5,3,2257.5995
104,"[6, 2, 3, 2, 2, 1, 5]","[192, 192, 192, 192, 192, 192, 192]","[5, 4, 3, 6, 6, 6, 3]",7,4,173.9092
105,"[6, 6, 1, 4, 5, 6, 5, 2, 2]","[240, 240, 240, 240, 240, 240, 240, 240, 240]","[4, 4, 4, 4, 3, 4, 6, 5, 5]",9,5,90.5369
106,"[3, 6, 1, 4, 3, 2, 3, 6, 5, 3]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 6, 5, 4, 6, 5, 6, 6, 5, 6]",10,6,183.6517
107,"[1, 6, 2, 2, 1, 5, 5, 6, 6, 5]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 3, 5, 4, 6, 3, 3, 3, 3]",10,7,205.0414
