layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
4,"[80, 80, 80, 80]","[3, 4, 5, 4]","[5, 1, 2, 3]",162.12313842773438,0.7721,13403516,-0.8416177034378052,4.559513092041016,174.7141,3.287951946258545,0.0479808524250984,1.779079379484756,-5842.1683,205.7853,8.860736842105263,16039.626,151.99983839322425,358.8274841308594,1499104,0.7576086858098279
6,"[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]","[6, 6, 6, 3, 3, 5]",254.3057556152344,0.8749,39737852,-1.9210493564605715,14.045954704284668,270.9566,6.917624473571777,0.1258412152528762,2.0994611546425404,-3170.3409,222.3251,9.468648148148148,28192.764,173.09562570115162,521.6242065429688,4594480,0.8722712244202739
8,"[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]","[1, 1, 4, 4, 6, 4, 1, 4]",103.50618743896484,0.8053,18631648,-1.2666712999343872,6.804187297821045,315.3977,5.400919437408447,0.0433382987976074,1.5436644121118803,-3302.1835,218.6064,9.06412,31754.025,164.4623395838827,652.8472900390625,4738896,0.7326435834466594
7,"[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]","[2, 4, 5, 1, 4, 5, 4]",369.23968505859375,0.8701,51508114,-3.60980224609375,21.826908111572266,314.6174,9.777417182922363,0.1300410628318786,2.3202329778486046,-2409.0602,226.6291,9.594064516129032,34098.473,174.07964232071177,625.5127563476562,6395440,0.898353885892675
6,"[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]","[4, 1, 5, 3, 5, 5]",163.36802673339844,0.8404,24166072,-1.255956768989563,9.003569602966309,256.3635,5.514947414398193,0.1052288115024566,1.7812837596657118,-3664.8498,217.5246,9.210722222222223,25638.834,165.50034441657803,504.3556823730469,4075648,0.7580793069023457
4,"[96, 96, 96, 96]","[4, 6, 4, 4]","[1, 5, 6, 1]",247.7855987548828,0.8218,20799744,-1.5948386192321775,6.961562156677246,181.0156,4.272671222686768,0.0344223491847515,2.062171135621611,-6222.1189,206.4343,9.016773684210529,16857.416,159.83461382034508,361.1422424316406,1992304,0.8338449975271942
9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]","[6, 1, 6, 5, 5, 4, 1, 1, 4]",1471.919921875,0.9166,192183152,-11.620237350463867,72.98275756835938,439.909,18.99335289001465,0.5171652436256409,3.578249801428292,-2352.6704,244.4968,10.205433333333334,53622.266,185.15774078492265,837.9608154296875,17546128,1.0763415423234337
6,"[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]","[2, 3, 6, 4, 3, 5]",108.8449478149414,0.8141,15712620,-1.1757781505584717,6.412271022796631,247.0377,4.727822780609131,0.0848993137478828,1.562851772202066,-3817.6062,213.1265,9.012085185185184,23982.46,162.60859057131978,488.6765747070313,2580688,0.7521847044899914
7,"[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]","[2, 2, 5, 1, 2, 2, 4]",1439.235595703125,0.9208,121953020,-9.249584197998049,47.03586196899414,342.1012,14.648056030273438,0.2883497178554535,3.5067321692627047,-2574.5971,235.0238,10.02989677419355,40935.72,175.0027712702991,656.7920532226562,11194768,1.005485228024554
7,"[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]","[1, 5, 1, 5, 5, 3, 4]",929.60205078125,0.9057,100224614,-3.120509624481201,36.78877258300781,334.9118,12.24113655090332,0.4140008985996246,3.072150859691874,-3054.542,231.0921,9.913358064516128,38642.04,178.08396455417096,639.8049926757812,10242672,1.0211044455845697
