,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,7,"[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]","[1, 5, 1, 5, 5, 3, 4]",88.2981,0.8676,0.8906,0.8261,0:07:04,2024770,100232454
0,6,"[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]","[6, 1, 3, 2, 5, 4]",79.9685,0.7982,0.8376,0.7333,0:06:36,83665,4142992
0,6,"[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]","[6, 6, 2, 3, 4, 6]",87.1969,0.8720,0.8834,0.8313,0:06:40,1035876,50975778
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]","[5, 1, 6, 6, 2, 3, 1, 4]",81.1759,0.8118,0.8269,0.7458,0:07:20,106469,5509896
0,6,"[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]","[6, 4, 2, 2, 4, 4]",86.6350,0.8564,0.8784,0.8108,0:06:40,1177064,57942570
0,4,"[128, 128, 128, 128]","[6, 3, 3, 6]","[4, 3, 5, 5]",87.6781,0.8655,0.8533,0.8189,0:06:00,880753,42352240
0,5,"[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]","[1, 5, 2, 5, 6]",82.9859,0.8279,0.8736,0.7765,0:06:18,412483,20063596
0,4,"[176, 176, 176, 176]","[4, 3, 6, 3]","[2, 6, 6, 5]",87.9581,0.8738,0.8653,0.8320,0:05:59,1759111,85096228
0,9,"[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 3, 3, 6, 3, 5, 5, 4, 6]","[4, 6, 2, 5, 5, 1, 3, 3, 6]",87.1556,0.8650,0.8804,0.8219,0:07:45,720613,36448216
0,8,"[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 5, 6, 3, 5, 3, 6]","[3, 2, 6, 4, 3, 3, 4, 4]",89.8036,0.8930,0.9040,0.8586,0:07:25,1536592,76594714
0,9,"[80, 80, 80, 80, 80, 80, 80, 80, 80]","[5, 5, 4, 5, 6, 5, 4, 3, 5]","[1, 4, 3, 4, 1, 1, 3, 6, 1]",88.3906,0.8657,0.8934,0.8228,0:07:46,581517,29712872
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 5, 5, 5, 5, 5]","[6, 6, 5, 6, 3, 2, 2, 3]",89.3493,0.8924,0.8861,0.8569,0:07:27,2101917,104436584
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 3, 6, 5, 4, 3, 6, 5, 4, 4]","[4, 5, 4, 2, 1, 2, 5, 1, 4, 2]",84.3808,0.8227,0.8779,0.7727,0:08:04,256494,13463646
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]","[6, 2, 5, 1, 5, 6, 5, 5, 4]",87.8150,0.8746,0.8878,0.8342,0:07:46,1485514,74342310
0,5,"[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]","[6, 4, 2, 1, 5]",90.1342,0.9014,0.8906,0.8683,0:06:22,1511502,73752462
0,7,"[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]","[6, 5, 2, 1, 3, 5, 2]",85.0632,0.8142,0.8791,0.7621,0:06:57,342946,17175270
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]","[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]",87.4588,0.8418,0.8933,0.7950,0:08:08,1637047,82229252
0,8,"[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]","[3, 1, 3, 1, 4, 1, 3, 2]",89.1180,0.8765,0.8863,0.8370,0:07:28,2193986,109451286
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]","[3, 3, 1, 4, 4, 5, 2, 1, 1]",82.1759,0.8218,0.8398,0.7634,0:07:43,102009,5418560
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]","[4, 2, 6, 3, 4, 6]",87.6381,0.8553,0.8997,0.8123,0:06:35,335278,16535918
0,5,"[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]","[4, 6, 6, 6, 6]",87.7806,0.8677,0.8735,0.8244,0:06:21,2443044,119294210
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]","[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]",85.1082,0.8499,0.8839,0.8040,0:08:07,265806,13915230
0,5,"[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]","[6, 4, 5, 2, 4]",88.5543,0.8856,0.8768,0.8476,0:06:20,1668154,81423510
0,4,"[112, 112, 112, 112]","[3, 6, 5, 6]","[5, 3, 1, 1]",87.3725,0.8706,0.8783,0.8284,0:05:58,503304,23977562
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]","[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]",90.8980,0.9090,0.9032,0.8783,0:08:11,3376175,168779604
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]","[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]",86.2082,0.8346,0.8784,0.7857,0:08:05,275118,14366814
0,6,"[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]","[1, 1, 1, 3, 1, 2]",80.2935,0.8029,0.8375,0.7383,0:06:45,121296,6078954
0,10,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]","[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]",90.1405,0.8912,0.8997,0.8563,0:08:03,440513,22723344
0,8,"[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]","[6, 2, 2, 2, 2, 6, 6, 2]",87.7475,0.8582,0.8918,0.8154,0:07:26,1160287,58010708
0,5,"[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]","[2, 3, 2, 2, 4]",72.9564,0.7268,0.8388,0.6536,0:06:16,218210,10539494
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]","[1, 6, 4, 6, 2, 2, 1, 1]",81.6459,0.8165,0.8353,0.7562,0:07:22,96069,5008136
